name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
NH Collection New York Madison Avenue,271,271,False,8.4,Very good,"1,973",4.0,False,"Murray Hill, New York",2.0,9.5,1 large double bed,Superior Room,False,False,True,13,1,2025-02-03
Millennium Hotel Broadway Times Square,290,265,True,7.4,Good,"7,892",4.0,False,"Manhattan, New York",1.3,9.4,1 large double bed,Standard Queen Room,False,True,False,13,1,2025-02-03
"InterContinental New York Times Square, an IHG Hotel",306,306,False,7.9,Good,"1,787",4.0,False,"Hell's Kitchen, New York",1.2,,1 extra-large double bed,Classic King Room with Roll In Shower - Mobility Accessible,False,True,False,13,1,2025-02-03
CIVILIAN Hotel,232,220,True,8.6,Fabulous,"4,743",4.0,False,"Hell's Kitchen, New York",0.9,9.6,1 large double bed,Double Room,False,True,True,13,1,2025-02-03
Aloft New York Chelsea,199,199,False,8.3,Very good,160,4.0,False,"Chelsea, New York",2.5,,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
New York Hilton Midtown,221,221,False,7.4,Good,"2,015",3.0,False,"Manhattan, New York",0.7,9.4,1 large double bed,Urban 1 Queen Bed,False,False,True,13,1,2025-02-03
Moxy NYC Chelsea,241,241,False,8.3,Very good,"3,098",4.0,False,"Chelsea, New York",2.5,9.3,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
Millennium Hilton New York One UN Plaza,267,267,False,7.4,Good,"2,101",4.0,False,"Midtown East, New York",2.2,,1 extra-large double bed,King Room with City View,False,False,True,13,1,2025-02-03
Radio Hotel,117,117,False,7.7,Good,"1,716",4.0,False,"Washington Heights, New York",9.8,,,Standard Studio,False,True,True,13,1,2025-02-03
Smyth Tribeca,405,335,True,8.3,Very good,751,4.0,False,"Tribeca, New York",6.3,9.3,1 large double bed,Superior Queen Room,False,True,True,13,1,2025-02-03
Hilton Garden Inn New York Times Square South,215,215,False,8.2,Very good,"4,030",3.0,False,"Hell's Kitchen, New York",1.8,,1 extra-large double bed,King Room with Roll-In Shower - Mobility/Hearing Accessible,False,False,True,13,1,2025-02-03
Hyatt Centric Midtown 5th Avenue New York,304,304,False,8.0,Very good,"1,129",4.0,False,"Manhattan, New York",1.9,,1 extra-large double bed,King Room with Roll-In Shower - Disability Access,False,True,False,13,1,2025-02-03
Four Points by Sheraton New York Downtown,227,227,False,7.8,Good,"1,990",3.0,False,"Manhattan, New York",7.0,,1 large double bed,"Guest room, 1 Queen",True,True,False,13,1,2025-02-03
